llm_a,llm_b,cliffs_delta,magnitude,interpretation
c4ai-aya-expanse-32b,gemini-3-flash-preview,-0.231,small,gemini-3-flash-preview > c4ai-aya-expanse-32b (small effect)
c4ai-aya-expanse-32b,gemini-2.5-flash,-0.218,small,gemini-2.5-flash > c4ai-aya-expanse-32b (small effect)
c4ai-aya-expanse-32b,magistral-medium,-0.203,small,magistral-medium > c4ai-aya-expanse-32b (small effect)
c4ai-aya-expanse-32b,qwen3-32b,-0.168,small,qwen3-32b > c4ai-aya-expanse-32b (small effect)
c4ai-aya-expanse-32b,llama-3.3-70b,-0.151,small,llama-3.3-70b > c4ai-aya-expanse-32b (small effect)
gemini-3-flash-preview,llama-3.3-70b,0.074,negligible,gemini-3-flash-preview > llama-3.3-70b (negligible effect)
gemini-2.5-flash,llama-3.3-70b,0.065,negligible,gemini-2.5-flash > llama-3.3-70b (negligible effect)
gemini-3-flash-preview,qwen3-32b,0.051,negligible,gemini-3-flash-preview > qwen3-32b (negligible effect)
llama-3.3-70b,magistral-medium,-0.045,negligible,magistral-medium > llama-3.3-70b (negligible effect)
gemini-2.5-flash,qwen3-32b,0.043,negligible,gemini-2.5-flash > qwen3-32b (negligible effect)
gemini-3-flash-preview,magistral-medium,0.034,negligible,gemini-3-flash-preview > magistral-medium (negligible effect)
gemini-2.5-flash,magistral-medium,0.024,negligible,gemini-2.5-flash > magistral-medium (negligible effect)
magistral-medium,qwen3-32b,0.022,negligible,magistral-medium > qwen3-32b (negligible effect)
llama-3.3-70b,qwen3-32b,-0.019,negligible,qwen3-32b > llama-3.3-70b (negligible effect)
gemini-2.5-flash,gemini-3-flash-preview,-0.008,negligible,gemini-3-flash-preview > gemini-2.5-flash (negligible effect)
