llm,dag_id,task_type,mean,std,min,max,range,n_trials
c4ai-aya-expanse-32b,L1_smoking_cancer,counterfactual,5.0,0.0,5.0,5.0,0.0,3
c4ai-aya-expanse-32b,L1_smoking_cancer,critique,1.25,0.0,1.25,1.25,0.0,3
c4ai-aya-expanse-32b,L1_smoking_cancer,explanation,4.6,0.0,4.6,4.6,0.0,3
c4ai-aya-expanse-32b,L2_education_income_health,counterfactual,3.833,0.289,3.5,4.0,0.5,3
c4ai-aya-expanse-32b,L2_education_income_health,critique,1.75,0.5,1.25,2.25,1.0,3
c4ai-aya-expanse-32b,L2_education_income_health,explanation,2.933,0.115,2.8,3.0,0.2,3
c4ai-aya-expanse-32b,L3_asia_correct,counterfactual,3.25,1.323,2.25,4.75,2.5,3
c4ai-aya-expanse-32b,L3_asia_correct,critique,1.25,0.0,1.25,1.25,0.0,3
c4ai-aya-expanse-32b,L3_asia_correct,explanation,2.4,0.0,2.4,2.4,0.0,3
gemini-2.5-flash,L1_smoking_cancer,counterfactual,4.917,0.144,4.75,5.0,0.25,3
gemini-2.5-flash,L1_smoking_cancer,critique,1.333,0.144,1.25,1.5,0.25,3
gemini-2.5-flash,L1_smoking_cancer,explanation,4.667,0.115,4.6,4.8,0.2,3
gemini-2.5-flash,L2_education_income_health,counterfactual,4.833,0.144,4.75,5.0,0.25,3
gemini-2.5-flash,L2_education_income_health,critique,1.25,0.0,1.25,1.25,0.0,3
gemini-2.5-flash,L2_education_income_health,explanation,4.467,0.416,4.0,4.8,0.8,3
gemini-2.5-flash,L3_asia_correct,counterfactual,4.833,0.144,4.75,5.0,0.25,3
gemini-2.5-flash,L3_asia_correct,critique,2.667,2.036,1.25,5.0,3.75,3
gemini-2.5-flash,L3_asia_correct,explanation,4.933,0.115,4.8,5.0,0.2,3
gemini-3-flash-preview,L1_smoking_cancer,counterfactual,5.0,0.0,5.0,5.0,0.0,3
gemini-3-flash-preview,L1_smoking_cancer,critique,1.667,0.144,1.5,1.75,0.25,3
gemini-3-flash-preview,L1_smoking_cancer,explanation,4.8,0.2,4.6,5.0,0.4,3
gemini-3-flash-preview,L2_education_income_health,counterfactual,5.0,0.0,5.0,5.0,0.0,3
gemini-3-flash-preview,L2_education_income_health,critique,1.667,0.382,1.25,2.0,0.75,3
gemini-3-flash-preview,L2_education_income_health,explanation,4.4,0.346,4.0,4.6,0.6,3
gemini-3-flash-preview,L3_asia_correct,counterfactual,4.917,0.144,4.75,5.0,0.25,3
gemini-3-flash-preview,L3_asia_correct,critique,1.333,0.144,1.25,1.5,0.25,3
gemini-3-flash-preview,L3_asia_correct,explanation,4.867,0.231,4.6,5.0,0.4,3
llama-3.3-70b,L1_smoking_cancer,counterfactual,4.917,0.144,4.75,5.0,0.25,3
llama-3.3-70b,L1_smoking_cancer,critique,1.5,0.25,1.25,1.75,0.5,3
llama-3.3-70b,L1_smoking_cancer,explanation,4.667,0.115,4.6,4.8,0.2,3
llama-3.3-70b,L2_education_income_health,counterfactual,4.667,0.289,4.5,5.0,0.5,3
llama-3.3-70b,L2_education_income_health,critique,1.417,0.289,1.25,1.75,0.5,3
llama-3.3-70b,L2_education_income_health,explanation,4.2,0.2,4.0,4.4,0.4,3
llama-3.3-70b,L3_asia_correct,counterfactual,4.75,0.25,4.5,5.0,0.5,3
llama-3.3-70b,L3_asia_correct,critique,1.333,0.144,1.25,1.5,0.25,3
llama-3.3-70b,L3_asia_correct,explanation,4.267,0.306,4.0,4.6,0.6,3
magistral-medium,L1_smoking_cancer,counterfactual,4.917,0.144,4.75,5.0,0.25,3
magistral-medium,L1_smoking_cancer,critique,1.417,0.289,1.25,1.75,0.5,3
magistral-medium,L1_smoking_cancer,explanation,4.667,0.115,4.6,4.8,0.2,3
magistral-medium,L2_education_income_health,counterfactual,4.833,0.144,4.75,5.0,0.25,3
magistral-medium,L2_education_income_health,critique,1.583,0.577,1.25,2.25,1.0,3
magistral-medium,L2_education_income_health,explanation,3.867,0.231,3.6,4.0,0.4,3
magistral-medium,L3_asia_correct,counterfactual,4.917,0.144,4.75,5.0,0.25,3
magistral-medium,L3_asia_correct,critique,1.25,0.0,1.25,1.25,0.0,3
magistral-medium,L3_asia_correct,explanation,4.467,0.306,4.2,4.8,0.6,3
qwen3-32b,L1_smoking_cancer,counterfactual,2.333,2.309,1.0,5.0,4.0,3
qwen3-32b,L1_smoking_cancer,critique,1.333,0.144,1.25,1.5,0.25,3
qwen3-32b,L1_smoking_cancer,explanation,4.733,0.115,4.6,4.8,0.2,3
qwen3-32b,L2_education_income_health,counterfactual,4.667,0.144,4.5,4.75,0.25,3
qwen3-32b,L2_education_income_health,critique,1.333,0.144,1.25,1.5,0.25,3
qwen3-32b,L2_education_income_health,explanation,4.133,0.231,4.0,4.4,0.4,3
qwen3-32b,L3_asia_correct,counterfactual,4.667,0.382,4.25,5.0,0.75,3
qwen3-32b,L3_asia_correct,critique,1.333,0.382,1.0,1.75,0.75,3
qwen3-32b,L3_asia_correct,explanation,4.667,0.115,4.6,4.8,0.2,3
