llm_a,llm_b,cliffs_delta,magnitude,interpretation
c4ai-aya-expanse-32b,qwen3-32b,-0.482,large,qwen3-32b > c4ai-aya-expanse-32b (large effect)
c4ai-aya-expanse-32b,gemini-3-flash-preview,-0.363,medium,gemini-3-flash-preview > c4ai-aya-expanse-32b (medium effect)
llama-3.3-70b,qwen3-32b,-0.323,small,qwen3-32b > llama-3.3-70b (small effect)
gemini-3-flash-preview,llama-3.3-70b,0.233,small,gemini-3-flash-preview > llama-3.3-70b (small effect)
magistral-medium,qwen3-32b,-0.227,small,qwen3-32b > magistral-medium (small effect)
gemini-2.5-flash,qwen3-32b,-0.211,small,qwen3-32b > gemini-2.5-flash (small effect)
c4ai-aya-expanse-32b,magistral-medium,-0.203,small,magistral-medium > c4ai-aya-expanse-32b (small effect)
c4ai-aya-expanse-32b,gemini-2.5-flash,-0.18,small,gemini-2.5-flash > c4ai-aya-expanse-32b (small effect)
gemini-3-flash-preview,magistral-medium,0.144,negligible,gemini-3-flash-preview > magistral-medium (negligible effect)
gemini-2.5-flash,gemini-3-flash-preview,-0.141,negligible,gemini-3-flash-preview > gemini-2.5-flash (negligible effect)
c4ai-aya-expanse-32b,llama-3.3-70b,-0.116,negligible,llama-3.3-70b > c4ai-aya-expanse-32b (negligible effect)
llama-3.3-70b,magistral-medium,-0.085,negligible,magistral-medium > llama-3.3-70b (negligible effect)
gemini-2.5-flash,llama-3.3-70b,0.073,negligible,gemini-2.5-flash > llama-3.3-70b (negligible effect)
gemini-3-flash-preview,qwen3-32b,-0.069,negligible,qwen3-32b > gemini-3-flash-preview (negligible effect)
gemini-2.5-flash,magistral-medium,-0.008,negligible,magistral-medium > gemini-2.5-flash (negligible effect)
